kind,id,x,y,source_memory
memory,M0,3.212173996062508,-1.9148547159724532,
memory,M1,-0.7348367297943461,1.8481476948085844,
memory,M2,-3.678993535482045,-2.6291845818443194,
memory,M3,-1.2782482882218473,-0.02731427959053958,
memory,M4,0.39813732988441886,-0.06760916916448823,
memory,M5,-1.1249655268027137,0.4132403553569726,
memory,M6,1.6565544021948786,1.27238348568806,
memory,M7,0.013109713227960973,-1.3545607202483492,
memory,M8,-1.552127160104226,1.385348604367586,
memory,M9,1.2192931685060358,3.1777263723039124,
memory,M10,-2.1466554008623007,0.12995769765678578,
memory,M11,-0.2877780254873039,2.5242554459780244,
memory,M12,1.044198694958717,-0.8826634318929686,
memory,M13,-2.0274371820435575,-1.049507370505148,
memory,M14,-0.055172903394818965,2.5474359535820206,
memory,M15,3.4405900180948485,-2.433992658136867,
memory,M16,-1.649465999165427,-0.5115772788526471,
memory,M17,-0.3051845938914644,0.8194469159761308,
memory,M18,2.3559727699829116,0.33858438315870837,
memory,M19,-1.1292138767168258,0.5924004358957534,
corrupted,C0,-0.6865223627437327,1.3301290531654932,1.0
classic_recovered,CL0,-2.8994077855421994,2.225407855401887,1.0
mhn_recovered,MHN0,-0.7348367297943473,1.8481476948085838,1.0
corrupted,C1,1.1755584997512318,-1.4593773986339016,15.0
classic_recovered,CL1,4.010267813175828,-1.8617642816255846,15.0
mhn_recovered,MHN1,3.4405900180948485,-2.433992658136867,15.0
corrupted,C2,1.008226321595775,1.8076727069201572,11.0
classic_recovered,CL2,4.812608828462252,0.2782481348067266,11.0
mhn_recovered,MHN2,-0.2877780254873039,2.5242554459780244,11.0
corrupted,C3,0.38287643874336214,3.0623723142946115,11.0
classic_recovered,CL3,4.812608828462252,0.2782481348067266,11.0
mhn_recovered,MHN3,-0.2877780254873039,2.5242554459780244,11.0
corrupted,C4,2.6974926370032337,-1.01033177119812,15.0
classic_recovered,CL4,4.010267813175828,-1.8617642816255846,15.0
mhn_recovered,MHN4,3.2644936271909835,-2.0525450712308735,15.0
corrupted,C5,-1.3553289994762592,-0.7508594691551287,3.0
classic_recovered,CL5,2.0790037302509767,-1.765879882583934,3.0
mhn_recovered,MHN5,-1.278248288221848,-0.027314279590540246,3.0
corrupted,C6,0.6379145257298501,0.7645849054798425,14.0
classic_recovered,CL6,4.010267813175828,-1.8617642816255846,14.0
mhn_recovered,MHN6,-0.055172903394818965,2.5474359535820206,14.0
corrupted,C7,-2.6612925497842195,1.3421948889264184,3.0
classic_recovered,CL7,-5.633012883753474,0.18127983801122619,3.0
mhn_recovered,MHN7,-1.278248288221848,-0.027314279590540246,3.0
corrupted,C8,-0.759471339619267,-0.23203584534942065,7.0
classic_recovered,CL8,-5.633012883753474,0.18127983801122619,7.0
mhn_recovered,MHN8,-3.6789935354820464,-2.6291845818443194,7.0
corrupted,C9,-3.258572025692943,-2.872596813863965,2.0
classic_recovered,CL9,-4.2565411076491735,-2.5733830670164766,2.0
mhn_recovered,MHN9,-3.6789935354820464,-2.6291845818443194,2.0
corrupted,C10,1.9163181947911396,3.3851690697016155,9.0
classic_recovered,CL10,4.812608828462252,0.2782481348067266,9.0
mhn_recovered,MHN10,1.219293168506035,3.177726372303912,9.0
corrupted,C11,-1.2840912975291507,-2.2322792477070243,13.0
classic_recovered,CL11,0.07439179164193939,-2.5832397624206402,13.0
mhn_recovered,MHN11,-2.0274371820435575,-1.0495073705051488,13.0
